Abbreviation,Type_cond,Type,Support/Copolymer/metal-organic framework (MOF),IL Cation name,IL Cation SMILE,IL Anion name,IL Anion SMILE,PIL Monomer Cation name,PIL Monomer Cation SMILE,PIL Anion name,PIL Anion SMILE,Full Name,Material 1,Material 2,Material 3,Material 4,Material 5,Material 6,Temperatures (degC),Pressures (bar),P,P(CO2) Error,alph,alphErr,DOI URL,Article Title,Authors,Journal,J_abb,Volume,Page,Year,Institutions,Corresponding Author,Corresponding Author Email,Corresponding Author Institution
"[P6,6,6,14]3+[GdCl6]3- supported by Hydrophilic PVDF",SILM,SILM,Porous hydrophilic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614]3,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC.CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC.CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,hexachlorogadolinium [GdCl6],Cl[Gd-3](Cl)(Cl)Cl,,,,,Porous hydrophilic poly(vinylidene fluoride) [PVDF] supported {[Trihexyl(tetradecyl)phosphonium [P66614]] [hexachlorogadolinium [GdCl6]]},Porous hydrophilic poly(vinylidene fluoride) [PVDF],Trihexyl(tetradecyl)phosphonium [P66614],hexachlorogadolinium [GdCl6],,,,25,0.45,159.96,,23.91,,https://dx.doi.org/10.1016/j.seppur.2012.01.034,Separation performance of CO2 through Supported Magnetic Ionic Liquid Membranes (SMILMs),"Albo, J.; Santos, E.; Neves, L.A.; Simeonov, S.P.; Afonso, C.A.M.; Crespo, J.G.; Irabien, A.",Separation and Purification Technology,Sep. Purif. Technol.,97,26-33,2012,"Universidad de Cantabria, Santander, Spain ; Universidade Nova de Lisboa, Caparica, Portugal ; Universidade de Lisboa, Lisboa, Portugal ; Instituto Superior Técnico, Lisboa, Portugal","Albo, J., Santos",alboj@unican.es,"Universidad de Cantabria, Santander, Spain"
poly(MEBIm-TFSI),PIL,PIL,,,,,,(1-[(2-methacryloyloxy) ethyl]-3-butylimidazolium [MEBIm],CCCC[N+]1=CN(C=C1)CCOC(C(C)=C)=O,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,poly([(1-[(2-methacryloyloxy) ethyl]-3-butylimidazolium [MEBIm]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]),(1-[(2-methacryloyloxy) ethyl]-3-butylimidazolium [MEBIm],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,,25,1,22.8,,28.5,,https://dx.doi.org/10.1016/j.memsci.2015.03.065,Influence of water vapor on the gas permeability of polymerized ionic liquids membranes,"Ansaloni, Luca; Nykaza, Jacob R.; Ye, Yuesheng; Elabd, Yossef A.; Giacinti Baschetti, Marco.",Journal of Membrane Science,J. Membr. Sci.,487,199-208,2015,"Università di Bologna, Bologna, Italy ; Drexel University, Philadelphia, PA, USA ; Texas A&M University, College Station, TX, USA","Ansaloni, Luca",luca.ansaloni6@unibo.it,"Università di Bologna, Bologna, Italy"
poly(MMA-b-MUBIm-TFSI),PIL-BCP,PIL-CP,poly(methyl methacrylate) [PMMA],,,,,(1-[(2-methacryloyloxy) undecyl]-3-butylimidazolium [MEBIm],CC(C(OCCCCCCCCCCN1C=[N+](CCCC)C=C1)=O)=C,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,poly(methyl methacrylate) [PMMA]-block-poly([(1-[(2-methacryloyloxy) ethyl]-3-butylimidazolium [MEBIm]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]),poly(methyl methacrylate) [PMMA],(1-[(2-methacryloyloxy) ethyl]-3-butylimidazolium [MEBIm],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,25,1,25.8,,26.3,,https://dx.doi.org/10.1016/j.memsci.2015.03.065,Influence of water vapor on the gas permeability of polymerized ionic liquids membranes,"Ansaloni, Luca; Nykaza, Jacob R.; Ye, Yuesheng; Elabd, Yossef A.; Giacinti Baschetti, Marco.",Journal of Membrane Science,J. Membr. Sci.,487,199-208,2015,"Università di Bologna, Bologna, Italy ; Drexel University, Philadelphia, PA, USA ; Texas A&M University, College Station, TX, USA","Ansaloni, Luca",luca.ansaloni6@unibo.it,"Università di Bologna, Bologna, Italy"
ZIF-8 PSF based MMM (0.06),No IL Membrane,No IL Membrane,,,,,,,,,,polysulfone [PSF] with 0.06 volume fraction filler (Zeolite imidazolate framework-8 (Zn(2-methylimidazole)2) [ZIF-8]) mixed matrix membrane,polysulfone [PSF],Zeolite imidazolate framework-8 (Zn(2-methylimidazole)2) [ZIF-8],,,,,30,6,427,,25,,https://dx.doi.org/10.1002/anie.201505508,Confinement of Ionic Liquids in Nanocages: Tailoring the Molecular Sieving Properties of ZIF-8 for Membrane-Based CO2 Capture,"Ban, Yujie; Li, Zhengjie; Li, Yanshuo; Peng, Yuan; Jin, Hua; Jiao, Wenmei; Guo, Ang; Wang, Po; Yang, Qingyuan; Zhong, Chongli; Yang, Weishen.",Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,54 (51),15483-15487,2015,"Dalian Institute of Chemical Physics, CAS, Dalian, China ; Beijing University of Chemical Technology, Beijing, China ; University of Chinese Academy of Sciences, Beijing, China","Li, Yanshuo",leeys@dicp.ac.cn,"Dalian Institute of Chemical Physics, CAS, Dalian, China"
IL([bmim][Tf2N])@ZIF-8 PSF based MMM (0.06),MMM,MMM,polysulfone [PSF] - Zeolite imidazolate framework-8 (Zn(2-methylimidazole)2) [ZIF-8],1-Butyl-3-methylimidazolium [bmim],C[N+]1=CN(CCCC)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,,,,,polysulfone [PSF] with 0.06 volume fraction filler ([Zeolite imidazolate framework-8 (Zn(2-methylimidazole)2) [ZIF-8]] and [1-Butyl-3-methylimidazolium [bmim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) mixed matrix membrane,polysulfone [PSF],Zeolite imidazolate framework-8 (Zn(2-methylimidazole)2) [ZIF-8],1-Butyl-3-methylimidazolium [bmim],bis(trifluoromethylsulfonyl)imide [Tf2N],,,30,6,307,,53,,https://dx.doi.org/10.1002/anie.201505508,Confinement of Ionic Liquids in Nanocages: Tailoring the Molecular Sieving Properties of ZIF-8 for Membrane-Based CO2 Capture,"Ban, Yujie; Li, Zhengjie; Li, Yanshuo; Peng, Yuan; Jin, Hua; Jiao, Wenmei; Guo, Ang; Wang, Po; Yang, Qingyuan; Zhong, Chongli; Yang, Weishen.",Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,54 (51),15483-15487,2015,"Dalian Institute of Chemical Physics, CAS, Dalian, China ; Beijing University of Chemical Technology, Beijing, China ; University of Chinese Academy of Sciences, Beijing, China","Li, Yanshuo",leeys@dicp.ac.cn,"Dalian Institute of Chemical Physics, CAS, Dalian, China"
[Rmim][Tf2N] RTIL R: Si-Me3,SILM,SILM,Porous hydrophilic polyethersulfone [PES],Trimethylsilyl-methyl-imidazolium [(Si-Me3)mim],C[N+]1=CN([Si](C)(C)C)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,,,,,Porous hydrophilic polyethersulfone [PES] supported {[Trimethylsilyl-methyl-imidazolium [(Si-Me3)mim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]},Porous hydrophilic polyethersulfone [PES],Trimethylsilyl-methyl-imidazolium [(Si-Me3)mim],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,22,0.9,480,10,26,,https://dx.doi.org/10.1021/ie8016237,Guide to CO2Separations in Imidazolium-Based Room-Temperature Ionic Liquids,"Bara, Jason E.; Carlisle, Trevor K.; Gabriel, Christopher J.; Camper, Dean; Finotello, Alexia; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (6),2739-2751,2009,"University of Colorado at Boulder, Boulder, CO, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, CO, USA"
[Rmim][Tf2N] RTIL R: Si-Me2Ph,SILM,SILM,Porous hydrophilic polyethersulfone [PES],Dimethylphenylsilyl-methyl-imidazolium [(Si-Me2Ph)mim],C[N+]1=CN([Si](C)(C2=CC=CC=C2)C)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,,,,,Porous hydrophilic polyethersulfone [PES] supported {[Dimethylphenylsilyl-methyl-imidazolium [(Si-Me2Ph)mim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]},Porous hydrophilic polyethersulfone [PES],Dimethylphenylsilyl-methyl-imidazolium [(Si-Me2Ph)mim],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,22,0.9,220,10,26,,https://dx.doi.org/10.1021/ie8016237,Guide to CO2Separations in Imidazolium-Based Room-Temperature Ionic Liquids,"Bara, Jason E.; Carlisle, Trevor K.; Gabriel, Christopher J.; Camper, Dean; Finotello, Alexia; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (6),2739-2751,2009,"University of Colorado at Boulder, Boulder, CO, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, CO, USA"
[Rmim][Tf2N] RTIL R: Siloxane,SILM,SILM,Porous hydrophilic polyethersulfone [PES],3-methyl-1-pentamethyldisiloxaneyl-imidazolium [MeSiOSi-mim],C[N+]1=CN([Si](C)(O[Si](C)(C)C)C)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,,,,,Porous hydrophilic polyethersulfone [PES] supported {[3-methyl-1-pentamethyldisiloxaneyl-imidazolium [MeSiOSi-mim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]},Porous hydrophilic polyethersulfone [PES],3-methyl-1-pentamethyldisiloxaneyl-imidazolium [MeSiOSi-mim],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,22,0.9,770,10,19,,https://dx.doi.org/10.1021/ie8016237,Guide to CO2Separations in Imidazolium-Based Room-Temperature Ionic Liquids,"Bara, Jason E.; Carlisle, Trevor K.; Gabriel, Christopher J.; Camper, Dean; Finotello, Alexia; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (6),2739-2751,2009,"University of Colorado at Boulder, Boulder, CO, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, CO, USA"
Poly(1d),PIL,PIL,,,,,,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,,22,2,16,1,41,,https://dx.doi.org/10.1021/ie801019x,Effect of Anion on Gas Separation Performance of Polymer-Room-Temperature Ionic Liquid Composite Membranes,"Bara, Jason E.; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,47 (24),9919-9924,2008,"University of Colorado at Boulder, Boulder, CO, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, CO, USA"
poly(1d) with 20 mol % [C2mim][Tf2N],PIL-IL,PIL-IL,,1-Ethyl-3-methylimidazolium [emim],CN1C=C[N+](CC)=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) with 20 mol % ([1-Ethyl-3-methylimidazolium [emim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethylsulfonyl)imide [Tf2N],1-Ethyl-3-methylimidazolium [emim],,,,22,2,60,2,36,,https://dx.doi.org/10.1021/ie801019x,Effect of Anion on Gas Separation Performance of Polymer-Room-Temperature Ionic Liquid Composite Membranes,"Bara, Jason E.; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,47 (24),9919-9924,2008,"University of Colorado at Boulder, Boulder, CO, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, CO, USA"
