Abbreviation,Type_cond,Type,Support/Copolymer/metal-organic framework (MOF),IL Cation name,IL Cation SMILE,IL Anion name,IL Anion SMILE,PIL Monomer Cation name,PIL Monomer Cation SMILE,PIL Anion name,PIL Anion SMILE,Full Name,Material 1,Material 2,Material 3,Material 4,Material 5,Material 6,Temperatures (degC),Pressures (bar),P,P(CO2) Error,alph,alphErr,DOI URL,Article Title,Authors,Journal,J_abb,Volume,Page,Year,Institutions,Corresponding Author,Corresponding Author Email,Corresponding Author Institution
Poly(1d),PIL,PIL,,,,,,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethylsulfonyl)imide [Tf2N],,,,,22,2,16,1,33,,https://dx.doi.org/10.1021/ie801019x,Effect of Anion on Gas Separation Performance of Polymer-Room-Temperature Ionic Liquid Composite Membranes,"Bara, Jason E.; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,47 (24),9919-9924,2008,"University of Colorado at Boulder, Boulder, Colorado, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
poly(1d) with 20 mol % [C2mim][Tf2N],PIL-IL,PIL-IL,,1-Ethyl-3-methylimidazolium [emim],CN1C=C[N+](CC)=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) with 20 mol % ([1-Ethyl-3-methylimidazolium [emim]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethylsulfonyl)imide [Tf2N],1-Ethyl-3-methylimidazolium [emim],,,,22,2,60,2,24,,https://dx.doi.org/10.1021/ie801019x,Effect of Anion on Gas Separation Performance of Polymer-Room-Temperature Ionic Liquid Composite Membranes,"Bara, Jason E.; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,47 (24),9919-9924,2008,"University of Colorado at Boulder, Boulder, Colorado, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
poly(1d) with 20 mol % [C2mim][dca],PIL-IL,PIL-IL,,1-Ethyl-3-methylimidazolium [emim],CN1C=C[N+](CC)=C1,Dicyanamide [DCA],N#C[N-]C#N,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) with 20 mol % ([1-Ethyl-3-methylimidazolium [emim]] [Dicyanamide [DCA]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethylsulfonyl)imide [Tf2N],1-Ethyl-3-methylimidazolium [emim],Dicyanamide [DCA],,,22,2,41,1,25,,https://dx.doi.org/10.1021/ie801019x,Effect of Anion on Gas Separation Performance of Polymer-Room-Temperature Ionic Liquid Composite Membranes,"Bara, Jason E.; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,47 (24),9919-9924,2008,"University of Colorado at Boulder, Boulder, Colorado, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
poly(1d) with 20 mol % [C2mim][OTf],PIL-IL,PIL-IL,,1-Ethyl-3-methylimidazolium [emim],CN1C=C[N+](CC)=C1,Triflate [OTf],[O-]S(C(F)(F)F)(=O)=O,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) with 20 mol % ([1-Ethyl-3-methylimidazolium [emim]] [Triflate [OTf]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethylsulfonyl)imide [Tf2N],1-Ethyl-3-methylimidazolium [emim],Triflate [OTf],,,22,2,43,1,25,,https://dx.doi.org/10.1021/ie801019x,Effect of Anion on Gas Separation Performance of Polymer-Room-Temperature Ionic Liquid Composite Membranes,"Bara, Jason E.; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,47 (24),9919-9924,2008,"University of Colorado at Boulder, Boulder, Colorado, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
poly(1d) with 20 mol % [C2mim][SbF6],PIL-IL,PIL-IL,,1-Ethyl-3-methylimidazolium [emim],CN1C=C[N+](CC)=C1,Fluoroantimonic acid [SbF6],F[Sb-](F)(F)(F)(F)F,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethylsulfonyl)imide [Tf2N]]) with 20 mol % ([1-Ethyl-3-methylimidazolium [emim]] [Fluoroantimonic acid [SbF6]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethylsulfonyl)imide [Tf2N],1-Ethyl-3-methylimidazolium [emim],Fluoroantimonic acid [SbF6],,,22,2,42,1,27,,https://dx.doi.org/10.1021/ie801019x,Effect of Anion on Gas Separation Performance of Polymer-Room-Temperature Ionic Liquid Composite Membranes,"Bara, Jason E.; Gin, Douglas L.; Noble, Richard D.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,47 (24),9919-9924,2008,"University of Colorado at Boulder, Boulder, Colorado, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
Poly(a)-3b,PIL-IL,PIL-IL,,1-Butyl-3-methylimidazolium [bmim],C[N+]1=CN(CCCC)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethane)sulfonimide [Tf2N]]) with 20 mol % ([1-Butyl-3-methylimidazolium [bmim]] [bis(trifluoromethane)sulfonimide [Tf2N]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethane)sulfonimide [Tf2N],1-Butyl-3-methylimidazolium [bmim],,,,22,2,51,1,24,,https://dx.doi.org/10.1021/ie801897r,"Effect of ""Free"" Cation Substituent on Gas Separation Performance of Polymer--Room-Temperature Ionic Liquid Composite Membranes","Bara, Jason E.; Noble, Richard D.; Gin, Douglas L.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (9),4607-4610,2009,"University of Colorado at Boulder, Boulder, Colorado, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
Poly(a)-3c,PIL-IL,PIL-IL,,Methoxyethyl methylimidazolium [Met-mim],CN1C=C[N+](CCOC)=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethane)sulfonimide [Tf2N]]) with 20 mol % ([Methoxyethyl methylimidazolium [Met-mim]] [bis(trifluoromethane)sulfonimide [Tf2N]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethane)sulfonimide [Tf2N],Methoxyethyl methylimidazolium [Met-mim],,,,22,2,53,1,26,,https://dx.doi.org/10.1021/ie801897r,"Effect of ""Free"" Cation Substituent on Gas Separation Performance of Polymer--Room-Temperature Ionic Liquid Composite Membranes","Bara, Jason E.; Noble, Richard D.; Gin, Douglas L.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (9),4607-4610,2009,"University of Colorado at Boulder, Boulder, Colorado, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
Poly(a)-3e,PIL-IL,PIL-IL,,Propionitrile methylimidazolium [PrN-mim],CN1C=C[N+](CCCC#N)=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethane)sulfonimide [Tf2N]]) with 20 mol % ([Propionitrile methylimidazolium [PrN-mim]] [bis(trifluoromethane)sulfonimide [Tf2N]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethane)sulfonimide [Tf2N],Propionitrile methylimidazolium [PrN-mim],,,,22,2,33,1,28,,https://dx.doi.org/10.1021/ie801897r,"Effect of ""Free"" Cation Substituent on Gas Separation Performance of Polymer--Room-Temperature Ionic Liquid Composite Membranes","Bara, Jason E.; Noble, Richard D.; Gin, Douglas L.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (9),4607-4610,2009,"University of Colorado at Boulder, Boulder, Colorado, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
Poly(a)-3e,PIL-IL,PIL-IL,,Pentafluorobutyl methylimidazolium [BuF5-mim],CN1C=C[N+](CCC(F)(F)C(F)(F)F)=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethane)sulfonimide [Tf2N]]) with 20 mol % ([Pentafluorobutyl methylimidazolium [BuF5-mim]] [bis(trifluoromethane)sulfonimide [Tf2N]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethane)sulfonimide [Tf2N],Pentafluorobutyl methylimidazolium [BuF5-mim],,,,22,2,47,1,27,,https://dx.doi.org/10.1021/ie801897r,"Effect of ""Free"" Cation Substituent on Gas Separation Performance of Polymer--Room-Temperature Ionic Liquid Composite Membranes","Bara, Jason E.; Noble, Richard D.; Gin, Douglas L.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (9),4607-4610,2009,"University of Colorado at Boulder, Boulder, Colorado, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
Poly(a)-3f,PIL-IL,PIL-IL,,3-methyl-1-pentamethyldisiloxaneyl-imidazolium [MeSiOSi-mim],C[N+]1=CN([Si](C)(O[Si](C)(C)C)C)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],C=CC1=CC=C(C[N+]2=CN(CCOC)C=C2)C=C1,bis(trifluoromethylsulfonyl)imide [Tf2N],FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F,Poly([(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im]] [bis(trifluoromethane)sulfonimide [Tf2N]]) with 20 mol % ([Hexamethyldisiloxane methylimidazolium [MeSiOSi-mim]] [bis(trifluoromethane)sulfonimide [Tf2N]]),(4-Methylstyrene)-methoxyethyl-imidazolium [MeS-MEt-im],bis(trifluoromethane)sulfonimide [Tf2N],Hexamethyldisiloxane methylimidazolium [MeSiOSi-mim],,,,22,2,55,1,20,,https://dx.doi.org/10.1021/ie801897r,"Effect of ""Free"" Cation Substituent on Gas Separation Performance of Polymer--Room-Temperature Ionic Liquid Composite Membranes","Bara, Jason E.; Noble, Richard D.; Gin, Douglas L.",Industrial & Engineering Chemistry Research,Ind. Eng. Chem. Res.,48 (9),4607-4610,2009,"University of Colorado at Boulder, Boulder, Colorado, USA","Noble, Richard D.",nobler@colorado.edu,"University of Colorado at Boulder, Boulder, Colorado, USA"
